x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.12,2006-08-14 12:00:00,NS,2006,8,14,12,20.6,,9.7,,,,,,50,,99.46,,24.1,,,,27,,22,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.13,2006-08-14 13:00:00,NS,2006,8,14,13,21.8,,9.2,,,,,,45,,99.45,,24.1,,,,27,,19,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.14,2006-08-14 14:00:00,NS,2006,8,14,14,21.9,,8.3,,,,,,42,,99.44,,24.1,,,,26,,19,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.15,2006-08-14 15:00:00,NS,2006,8,14,15,22.6,,9.7,,,,,,44,,99.43,,24.1,,,,26,,22,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.16,2006-08-14 16:00:00,NS,2006,8,14,16,21.8,,11.9,,,,,,53,,99.44,,24.1,,,,22,,22,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.17,2006-08-14 17:00:00,NS,2006,8,14,17,21.1,,11.5,,,,,,54,,99.48,,24.1,,,,21,,20,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.18,2006-08-14 18:00:00,NS,2006,8,14,18,19.0,,11.9,,,,,,63,,99.46,,24.1,,,,20,,19,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.19,2006-08-14 19:00:00,NS,2006,8,14,19,18.0,,12.5,,,,,,70,,99.51,,24.1,,,,22,,19,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.20,2006-08-14 20:00:00,NS,2006,8,14,20,17.5,,11.9,,,,,,70,,99.54,,24.1,,,,22,,19,
-63.50001388888889,44.88001666666667,HALIFAX STANFIELD INT'L A,8202250,8202250.2006.8.14.21,2006-08-14 21:00:00,NS,2006,8,14,21,16.6,,11.4,,,,,,71,,99.54,,24.1,,,,21,,19,
