Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
158,6,0.94,0.937,(75675, 24),(75675, 1),(180, 1)
2,4,0.943,0.936,(75753, 24),(75753, 1),(180, 1)
9,5,0.942,0.936,(75750, 24),(75750, 1),(180, 1)
16,6,0.938,0.936,(75746, 24),(75746, 1),(180, 1)
32,7,0.936,0.936,(75738, 24),(75738, 1),(180, 1)
34,7,0.937,0.936,(75737, 24),(75737, 1),(180, 1)
41,7,0.936,0.936,(75734, 24),(75734, 1),(180, 1)
42,7,0.936,0.936,(75733, 24),(75733, 1),(180, 1)
49,7,0.937,0.936,(75730, 24),(75730, 1),(180, 1)
54,7,0.938,0.936,(75727, 24),(75727, 1),(180, 1)
67,7,0.937,0.936,(75721, 24),(75721, 1),(180, 1)
68,7,0.937,0.936,(75720, 24),(75720, 1),(180, 1)
76,7,0.937,0.936,(75716, 24),(75716, 1),(180, 1)
90,7,0.938,0.936,(75709, 24),(75709, 1),(180, 1)
94,7,0.937,0.936,(75707, 24),(75707, 1),(180, 1)
96,7,0.937,0.936,(75706, 24),(75706, 1),(180, 1)
101,7,0.938,0.936,(75704, 24),(75704, 1),(180, 1)
109,7,0.938,0.936,(75700, 24),(75700, 1),(180, 1)
133,6,0.938,0.936,(75688, 24),(75688, 1),(180, 1)
164,6,0.938,0.936,(75672, 24),(75672, 1),(180, 1)
170,6,0.938,0.936,(75669, 24),(75669, 1),(180, 1)
176,6,0.938,0.936,(75666, 24),(75666, 1),(180, 1)
182,6,0.939,0.936,(75663, 24),(75663, 1),(180, 1)
186,6,0.938,0.936,(75661, 24),(75661, 1),(180, 1)
192,6,0.939,0.936,(75658, 24),(75658, 1),(180, 1)
194,6,0.939,0.936,(75657, 24),(75657, 1),(180, 1)
3,4,0.941,0.935,(75753, 24),(75753, 1),(180, 1)
29,7,0.936,0.935,(75740, 24),(75740, 1),(180, 1)
33,7,0.936,0.935,(75738, 24),(75738, 1),(180, 1)
37,7,0.936,0.935,(75736, 24),(75736, 1),(180, 1)
44,7,0.936,0.935,(75732, 24),(75732, 1),(180, 1)
46,7,0.936,0.935,(75731, 24),(75731, 1),(180, 1)
47,7,0.936,0.935,(75731, 24),(75731, 1),(180, 1)
53,7,0.935,0.935,(75728, 24),(75728, 1),(180, 1)
56,7,0.936,0.935,(75726, 24),(75726, 1),(180, 1)
60,7,0.936,0.935,(75724, 24),(75724, 1),(180, 1)
79,7,0.937,0.935,(75715, 24),(75715, 1),(180, 1)
81,7,0.936,0.935,(75714, 24),(75714, 1),(180, 1)
82,7,0.936,0.935,(75713, 24),(75713, 1),(180, 1)
103,7,0.937,0.935,(75703, 24),(75703, 1),(180, 1)
162,6,0.938,0.935,(75673, 24),(75673, 1),(180, 1)
172,6,0.937,0.935,(75668, 24),(75668, 1),(180, 1)
174,6,0.937,0.935,(75667, 24),(75667, 1),(180, 1)
190,6,0.936,0.935,(75659, 24),(75659, 1),(180, 1)
11,5,0.941,0.934,(75749, 24),(75749, 1),(180, 1)
27,7,0.935,0.934,(75741, 24),(75741, 1),(180, 1)
28,7,0.935,0.934,(75740, 24),(75740, 1),(180, 1)
31,7,0.935,0.934,(75739, 24),(75739, 1),(180, 1)
69,7,0.935,0.934,(75720, 24),(75720, 1),(180, 1)
74,7,0.935,0.934,(75717, 24),(75717, 1),(180, 1)
84,7,0.935,0.934,(75712, 24),(75712, 1),(180, 1)
91,7,0.935,0.934,(75709, 24),(75709, 1),(180, 1)
97,7,0.935,0.934,(75706, 24),(75706, 1),(180, 1)
100,7,0.935,0.934,(75704, 24),(75704, 1),(180, 1)
105,7,0.936,0.934,(75702, 24),(75702, 1),(180, 1)
113,7,0.935,0.934,(75698, 24),(75698, 1),(180, 1)
141,7,0.935,0.934,(75684, 24),(75684, 1),(180, 1)
160,6,0.936,0.934,(75674, 24),(75674, 1),(180, 1)
188,6,0.937,0.934,(75660, 24),(75660, 1),(180, 1)
12,5,0.938,0.933,(75748, 24),(75748, 1),(180, 1)
14,6,0.937,0.933,(75747, 24),(75747, 1),(180, 1)
19,7,0.934,0.933,(75745, 24),(75745, 1),(180, 1)
21,7,0.933,0.933,(75744, 24),(75744, 1),(180, 1)
75,7,0.933,0.933,(75717, 24),(75717, 1),(180, 1)
104,7,0.935,0.933,(75702, 24),(75702, 1),(180, 1)
112,7,0.935,0.933,(75698, 24),(75698, 1),(180, 1)
114,7,0.934,0.933,(75697, 24),(75697, 1),(180, 1)
115,7,0.934,0.933,(75697, 24),(75697, 1),(180, 1)
117,7,0.935,0.933,(75696, 24),(75696, 1),(180, 1)
120,7,0.934,0.933,(75694, 24),(75694, 1),(180, 1)
122,7,0.935,0.933,(75693, 24),(75693, 1),(180, 1)
125,7,0.934,0.933,(75692, 24),(75692, 1),(180, 1)
10,5,0.938,0.932,(75749, 24),(75749, 1),(180, 1)
13,6,0.936,0.932,(75748, 24),(75748, 1),(180, 1)
23,7,0.933,0.932,(75743, 24),(75743, 1),(180, 1)
24,7,0.933,0.932,(75742, 24),(75742, 1),(180, 1)
25,7,0.934,0.932,(75742, 24),(75742, 1),(180, 1)
39,8,0.932,0.932,(75735, 24),(75735, 1),(180, 1)
50,8,0.932,0.932,(75729, 24),(75729, 1),(180, 1)
65,8,0.932,0.932,(75722, 24),(75722, 1),(180, 1)
66,7,0.934,0.932,(75721, 24),(75721, 1),(180, 1)
73,8,0.931,0.932,(75718, 24),(75718, 1),(180, 1)
119,7,0.932,0.932,(75695, 24),(75695, 1),(180, 1)
123,7,0.933,0.932,(75693, 24),(75693, 1),(180, 1)
145,7,0.933,0.932,(75682, 24),(75682, 1),(180, 1)
26,7,0.931,0.931,(75741, 24),(75741, 1),(180, 1)
38,8,0.931,0.931,(75735, 24),(75735, 1),(180, 1)
45,8,0.931,0.931,(75732, 24),(75732, 1),(180, 1)
48,8,0.931,0.931,(75730, 24),(75730, 1),(180, 1)
58,8,0.931,0.931,(75725, 24),(75725, 1),(180, 1)
71,7,0.932,0.931,(75719, 24),(75719, 1),(180, 1)
87,7,0.933,0.931,(75711, 24),(75711, 1),(180, 1)
88,7,0.932,0.931,(75710, 24),(75710, 1),(180, 1)
98,7,0.933,0.931,(75705, 24),(75705, 1),(180, 1)
106,7,0.933,0.931,(75701, 24),(75701, 1),(180, 1)
108,7,0.933,0.931,(75700, 24),(75700, 1),(180, 1)
121,7,0.932,0.931,(75694, 24),(75694, 1),(180, 1)
124,7,0.932,0.931,(75692, 24),(75692, 1),(180, 1)
128,7,0.933,0.931,(75690, 24),(75690, 1),(180, 1)
138,7,0.932,0.931,(75685, 24),(75685, 1),(180, 1)
178,7,0.932,0.931,(75665, 24),(75665, 1),(180, 1)
198,6,0.934,0.931,(75655, 24),(75655, 1),(180, 1)
20,7,0.932,0.93,(75744, 24),(75744, 1),(180, 1)
40,8,0.93,0.93,(75734, 24),(75734, 1),(180, 1)
52,8,0.93,0.93,(75728, 24),(75728, 1),(180, 1)
57,8,0.929,0.93,(75726, 24),(75726, 1),(180, 1)
64,8,0.931,0.93,(75722, 24),(75722, 1),(180, 1)
70,8,0.929,0.93,(75719, 24),(75719, 1),(180, 1)
72,8,0.93,0.93,(75718, 24),(75718, 1),(180, 1)
80,8,0.93,0.93,(75714, 24),(75714, 1),(180, 1)
89,8,0.931,0.93,(75710, 24),(75710, 1),(180, 1)
95,7,0.931,0.93,(75707, 24),(75707, 1),(180, 1)
111,7,0.932,0.93,(75699, 24),(75699, 1),(180, 1)
130,7,0.931,0.93,(75689, 24),(75689, 1),(180, 1)
132,7,0.932,0.93,(75688, 24),(75688, 1),(180, 1)
146,7,0.931,0.93,(75681, 24),(75681, 1),(180, 1)
154,7,0.931,0.93,(75677, 24),(75677, 1),(180, 1)
156,7,0.931,0.93,(75676, 24),(75676, 1),(180, 1)
184,6,0.933,0.93,(75662, 24),(75662, 1),(180, 1)
196,7,0.931,0.93,(75656, 24),(75656, 1),(180, 1)
200,6,0.934,0.93,(75654, 24),(75654, 1),(180, 1)
15,7,0.93,0.929,(75747, 24),(75747, 1),(180, 1)
18,7,0.93,0.929,(75745, 24),(75745, 1),(180, 1)
30,7,0.93,0.929,(75739, 24),(75739, 1),(180, 1)
35,7,0.93,0.929,(75737, 24),(75737, 1),(180, 1)
36,7,0.931,0.929,(75736, 24),(75736, 1),(180, 1)
43,8,0.929,0.929,(75733, 24),(75733, 1),(180, 1)
51,8,0.929,0.929,(75729, 24),(75729, 1),(180, 1)
55,8,0.928,0.929,(75727, 24),(75727, 1),(180, 1)
61,8,0.93,0.929,(75724, 24),(75724, 1),(180, 1)
62,8,0.93,0.929,(75723, 24),(75723, 1),(180, 1)
63,8,0.929,0.929,(75723, 24),(75723, 1),(180, 1)
77,8,0.929,0.929,(75716, 24),(75716, 1),(180, 1)
78,8,0.93,0.929,(75715, 24),(75715, 1),(180, 1)
83,8,0.93,0.929,(75713, 24),(75713, 1),(180, 1)
86,8,0.929,0.929,(75711, 24),(75711, 1),(180, 1)
92,8,0.93,0.929,(75708, 24),(75708, 1),(180, 1)
96,7,0.93,0.929,(75706, 24),(75706, 1),(180, 1)
107,8,0.929,0.929,(75701, 24),(75701, 1),(180, 1)
110,7,0.931,0.929,(75699, 24),(75699, 1),(180, 1)
116,7,0.93,0.929,(75696, 24),(75696, 1),(180, 1)
126,7,0.931,0.929,(75691, 24),(75691, 1),(180, 1)
129,7,0.93,0.929,(75690, 24),(75690, 1),(180, 1)
131,7,0.93,0.929,(75689, 24),(75689, 1),(180, 1)
135,7,0.931,0.929,(75687, 24),(75687, 1),(180, 1)
136,7,0.93,0.929,(75686, 24),(75686, 1),(180, 1)
137,7,0.931,0.929,(75686, 24),(75686, 1),(180, 1)
142,7,0.931,0.929,(75683, 24),(75683, 1),(180, 1)
143,7,0.93,0.929,(75683, 24),(75683, 1),(180, 1)
166,7,0.93,0.929,(75671, 24),(75671, 1),(180, 1)
180,7,0.93,0.929,(75664, 24),(75664, 1),(180, 1)
7,5,0.935,0.928,(75751, 24),(75751, 1),(180, 1)
17,7,0.93,0.928,(75746, 24),(75746, 1),(180, 1)
22,7,0.929,0.928,(75743, 24),(75743, 1),(180, 1)
34,8,0.928,0.928,(75737, 24),(75737, 1),(180, 1)
42,8,0.928,0.928,(75733, 24),(75733, 1),(180, 1)
49,8,0.928,0.928,(75730, 24),(75730, 1),(180, 1)
59,8,0.929,0.928,(75725, 24),(75725, 1),(180, 1)
67,8,0.928,0.928,(75721, 24),(75721, 1),(180, 1)
68,8,0.928,0.928,(75720, 24),(75720, 1),(180, 1)
85,8,0.929,0.928,(75712, 24),(75712, 1),(180, 1)
93,8,0.929,0.928,(75708, 24),(75708, 1),(180, 1)
94,8,0.929,0.928,(75707, 24),(75707, 1),(180, 1)
96,8,0.928,0.928,(75706, 24),(75706, 1),(180, 1)
99,8,0.928,0.928,(75705, 24),(75705, 1),(180, 1)
101,8,0.929,0.928,(75704, 24),(75704, 1),(180, 1)
102,7,0.93,0.928,(75703, 24),(75703, 1),(180, 1)
118,7,0.93,0.928,(75695, 24),(75695, 1),(180, 1)
134,7,0.93,0.928,(75687, 24),(75687, 1),(180, 1)
168,7,0.929,0.928,(75670, 24),(75670, 1),(180, 1)
6,5,0.934,0.927,(75751, 24),(75751, 1),(180, 1)
32,8,0.927,0.927,(75738, 24),(75738, 1),(180, 1)
37,8,0.927,0.927,(75736, 24),(75736, 1),(180, 1)
41,8,0.927,0.927,(75734, 24),(75734, 1),(180, 1)
54,8,0.927,0.927,(75727, 24),(75727, 1),(180, 1)
56,8,0.927,0.927,(75726, 24),(75726, 1),(180, 1)
76,8,0.928,0.927,(75716, 24),(75716, 1),(180, 1)
79,8,0.928,0.927,(75715, 24),(75715, 1),(180, 1)
81,8,0.928,0.927,(75714, 24),(75714, 1),(180, 1)
82,8,0.928,0.927,(75713, 24),(75713, 1),(180, 1)
90,8,0.928,0.927,(75709, 24),(75709, 1),(180, 1)
109,8,0.928,0.927,(75700, 24),(75700, 1),(180, 1)
144,7,0.928,0.927,(75682, 24),(75682, 1),(180, 1)
150,7,0.929,0.927,(75679, 24),(75679, 1),(180, 1)
152,7,0.928,0.927,(75678, 24),(75678, 1),(180, 1)
158,7,0.93,0.927,(75675, 24),(75675, 1),(180, 1)
16,7,0.927,0.926,(75746, 24),(75746, 1),(180, 1)
29,8,0.927,0.926,(75740, 24),(75740, 1),(180, 1)
31,8,0.926,0.926,(75739, 24),(75739, 1),(180, 1)
33,8,0.926,0.926,(75738, 24),(75738, 1),(180, 1)
44,8,0.927,0.926,(75732, 24),(75732, 1),(180, 1)
46,8,0.927,0.926,(75731, 24),(75731, 1),(180, 1)
47,8,0.926,0.926,(75731, 24),(75731, 1),(180, 1)
53,8,0.926,0.926,(75728, 24),(75728, 1),(180, 1)
84,8,0.926,0.926,(75712, 24),(75712, 1),(180, 1)
103,8,0.928,0.926,(75703, 24),(75703, 1),(180, 1)
133,7,0.927,0.926,(75688, 24),(75688, 1),(180, 1)
140,7,0.928,0.926,(75684, 24),(75684, 1),(180, 1)
148,7,0.928,0.926,(75680, 24),(75680, 1),(180, 1)
164,7,0.927,0.926,(75672, 24),(75672, 1),(180, 1)
170,7,0.928,0.926,(75669, 24),(75669, 1),(180, 1)
176,7,0.928,0.926,(75666, 24),(75666, 1),(180, 1)
182,7,0.928,0.926,(75663, 24),(75663, 1),(180, 1)
194,7,0.929,0.926,(75657, 24),(75657, 1),(180, 1)
8,5,0.931,0.925,(75750, 24),(75750, 1),(180, 1)
19,8,0.924,0.925,(75745, 24),(75745, 1),(180, 1)
28,8,0.925,0.925,(75740, 24),(75740, 1),(180, 1)
38,9,0.924,0.925,(75735, 24),(75735, 1),(180, 1)
39,9,0.924,0.925,(75735, 24),(75735, 1),(180, 1)
60,8,0.926,0.925,(75724, 24),(75724, 1),(180, 1)
65,9,0.924,0.925,(75722, 24),(75722, 1),(180, 1)
69,8,0.926,0.925,(75720, 24),(75720, 1),(180, 1)
74,8,0.926,0.925,(75717, 24),(75717, 1),(180, 1)
91,8,0.926,0.925,(75709, 24),(75709, 1),(180, 1)
100,8,0.926,0.925,(75704, 24),(75704, 1),(180, 1)
104,8,0.926,0.925,(75702, 24),(75702, 1),(180, 1)
105,8,0.926,0.925,(75702, 24),(75702, 1),(180, 1)
113,8,0.926,0.925,(75698, 24),(75698, 1),(180, 1)
114,8,0.925,0.925,(75697, 24),(75697, 1),(180, 1)
141,8,0.925,0.925,(75684, 24),(75684, 1),(180, 1)
162,7,0.927,0.925,(75673, 24),(75673, 1),(180, 1)
172,7,0.927,0.925,(75668, 24),(75668, 1),(180, 1)
174,7,0.926,0.925,(75667, 24),(75667, 1),(180, 1)
186,7,0.927,0.925,(75661, 24),(75661, 1),(180, 1)
192,7,0.928,0.925,(75658, 24),(75658, 1),(180, 1)
25,8,0.924,0.924,(75742, 24),(75742, 1),(180, 1)
27,8,0.924,0.924,(75741, 24),(75741, 1),(180, 1)
73,9,0.923,0.924,(75718, 24),(75718, 1),(180, 1)
75,8,0.924,0.924,(75717, 24),(75717, 1),(180, 1)
97,8,0.926,0.924,(75706, 24),(75706, 1),(180, 1)
112,8,0.925,0.924,(75698, 24),(75698, 1),(180, 1)
115,8,0.924,0.924,(75697, 24),(75697, 1),(180, 1)
117,8,0.925,0.924,(75696, 24),(75696, 1),(180, 1)
120,8,0.925,0.924,(75694, 24),(75694, 1),(180, 1)
122,8,0.926,0.924,(75693, 24),(75693, 1),(180, 1)
123,8,0.924,0.924,(75693, 24),(75693, 1),(180, 1)
125,8,0.924,0.924,(75692, 24),(75692, 1),(180, 1)
190,7,0.925,0.924,(75659, 24),(75659, 1),(180, 1)
14,7,0.926,0.923,(75747, 24),(75747, 1),(180, 1)
21,8,0.923,0.923,(75744, 24),(75744, 1),(180, 1)
23,8,0.923,0.923,(75743, 24),(75743, 1),(180, 1)
45,9,0.922,0.923,(75732, 24),(75732, 1),(180, 1)
48,9,0.924,0.923,(75730, 24),(75730, 1),(180, 1)
50,9,0.923,0.923,(75729, 24),(75729, 1),(180, 1)
52,9,0.922,0.923,(75728, 24),(75728, 1),(180, 1)
58,9,0.922,0.923,(75725, 24),(75725, 1),(180, 1)
66,8,0.924,0.923,(75721, 24),(75721, 1),(180, 1)
80,9,0.922,0.923,(75714, 24),(75714, 1),(180, 1)
87,8,0.924,0.923,(75711, 24),(75711, 1),(180, 1)
89,9,0.923,0.923,(75710, 24),(75710, 1),(180, 1)
119,8,0.923,0.923,(75695, 24),(75695, 1),(180, 1)
124,8,0.924,0.923,(75692, 24),(75692, 1),(180, 1)
145,8,0.923,0.923,(75682, 24),(75682, 1),(180, 1)
160,7,0.925,0.923,(75674, 24),(75674, 1),(180, 1)
188,7,0.926,0.923,(75660, 24),(75660, 1),(180, 1)
24,8,0.922,0.922,(75742, 24),(75742, 1),(180, 1)
40,9,0.922,0.922,(75734, 24),(75734, 1),(180, 1)
51,9,0.921,0.922,(75729, 24),(75729, 1),(180, 1)
57,9,0.922,0.922,(75726, 24),(75726, 1),(180, 1)
61,9,0.922,0.922,(75724, 24),(75724, 1),(180, 1)
63,9,0.922,0.922,(75723, 24),(75723, 1),(180, 1)
64,9,0.922,0.922,(75722, 24),(75722, 1),(180, 1)
70,9,0.922,0.922,(75719, 24),(75719, 1),(180, 1)
71,8,0.922,0.922,(75719, 24),(75719, 1),(180, 1)
72,9,0.922,0.922,(75718, 24),(75718, 1),(180, 1)
78,9,0.922,0.922,(75715, 24),(75715, 1),(180, 1)
88,8,0.923,0.922,(75710, 24),(75710, 1),(180, 1)
92,9,0.922,0.922,(75708, 24),(75708, 1),(180, 1)
98,8,0.923,0.922,(75705, 24),(75705, 1),(180, 1)
108,8,0.924,0.922,(75700, 24),(75700, 1),(180, 1)
121,8,0.922,0.922,(75694, 24),(75694, 1),(180, 1)
128,8,0.923,0.922,(75690, 24),(75690, 1),(180, 1)
138,8,0.923,0.922,(75685, 24),(75685, 1),(180, 1)
5,5,0.928,0.921,(75752, 24),(75752, 1),(180, 1)
13,7,0.924,0.921,(75748, 24),(75748, 1),(180, 1)
15,8,0.921,0.921,(75747, 24),(75747, 1),(180, 1)
20,8,0.922,0.921,(75744, 24),(75744, 1),(180, 1)
26,8,0.92,0.921,(75741, 24),(75741, 1),(180, 1)
30,8,0.921,0.921,(75739, 24),(75739, 1),(180, 1)
36,8,0.922,0.921,(75736, 24),(75736, 1),(180, 1)
42,9,0.92,0.921,(75733, 24),(75733, 1),(180, 1)
43,9,0.921,0.921,(75733, 24),(75733, 1),(180, 1)
55,9,0.92,0.921,(75727, 24),(75727, 1),(180, 1)
59,9,0.921,0.921,(75725, 24),(75725, 1),(180, 1)
62,9,0.921,0.921,(75723, 24),(75723, 1),(180, 1)
83,9,0.921,0.921,(75713, 24),(75713, 1),(180, 1)
95,8,0.921,0.921,(75707, 24),(75707, 1),(180, 1)
106,8,0.923,0.921,(75701, 24),(75701, 1),(180, 1)
107,9,0.921,0.921,(75701, 24),(75701, 1),(180, 1)
130,8,0.921,0.921,(75689, 24),(75689, 1),(180, 1)
132,8,0.922,0.921,(75688, 24),(75688, 1),(180, 1)
146,8,0.921,0.921,(75681, 24),(75681, 1),(180, 1)
154,8,0.921,0.921,(75677, 24),(75677, 1),(180, 1)
156,8,0.921,0.921,(75676, 24),(75676, 1),(180, 1)
178,8,0.922,0.921,(75665, 24),(75665, 1),(180, 1)
196,8,0.921,0.921,(75656, 24),(75656, 1),(180, 1)
198,7,0.924,0.921,(75655, 24),(75655, 1),(180, 1)
33,9,0.919,0.92,(75738, 24),(75738, 1),(180, 1)
34,9,0.92,0.92,(75737, 24),(75737, 1),(180, 1)
35,8,0.921,0.92,(75737, 24),(75737, 1),(180, 1)
37,9,0.919,0.92,(75736, 24),(75736, 1),(180, 1)
41,9,0.919,0.92,(75734, 24),(75734, 1),(180, 1)
67,9,0.92,0.92,(75721, 24),(75721, 1),(180, 1)
68,9,0.919,0.92,(75720, 24),(75720, 1),(180, 1)
82,9,0.92,0.92,(75713, 24),(75713, 1),(180, 1)
85,9,0.92,0.92,(75712, 24),(75712, 1),(180, 1)
86,9,0.92,0.92,(75711, 24),(75711, 1),(180, 1)
93,9,0.921,0.92,(75708, 24),(75708, 1),(180, 1)
94,9,0.92,0.92,(75707, 24),(75707, 1),(180, 1)
96,9,0.919,0.92,(75706, 24),(75706, 1),(180, 1)
96,8,0.92,0.92,(75706, 24),(75706, 1),(180, 1)
99,9,0.92,0.92,(75705, 24),(75705, 1),(180, 1)
110,8,0.922,0.92,(75699, 24),(75699, 1),(180, 1)
111,8,0.922,0.92,(75699, 24),(75699, 1),(180, 1)
116,8,0.921,0.92,(75696, 24),(75696, 1),(180, 1)
131,8,0.92,0.92,(75689, 24),(75689, 1),(180, 1)
135,8,0.921,0.92,(75687, 24),(75687, 1),(180, 1)
136,8,0.921,0.92,(75686, 24),(75686, 1),(180, 1)
142,8,0.921,0.92,(75683, 24),(75683, 1),(180, 1)
166,8,0.92,0.92,(75671, 24),(75671, 1),(180, 1)
9,6,0.925,0.919,(75750, 24),(75750, 1),(180, 1)
18,8,0.92,0.919,(75745, 24),(75745, 1),(180, 1)
44,9,0.919,0.919,(75732, 24),(75732, 1),(180, 1)
53,9,0.918,0.919,(75728, 24),(75728, 1),(180, 1)
54,9,0.919,0.919,(75727, 24),(75727, 1),(180, 1)
56,9,0.918,0.919,(75726, 24),(75726, 1),(180, 1)
76,9,0.919,0.919,(75716, 24),(75716, 1),(180, 1)
77,9,0.919,0.919,(75716, 24),(75716, 1),(180, 1)
79,9,0.919,0.919,(75715, 24),(75715, 1),(180, 1)
81,9,0.919,0.919,(75714, 24),(75714, 1),(180, 1)
90,9,0.92,0.919,(75709, 24),(75709, 1),(180, 1)
101,9,0.92,0.919,(75704, 24),(75704, 1),(180, 1)
102,8,0.921,0.919,(75703, 24),(75703, 1),(180, 1)
109,9,0.919,0.919,(75700, 24),(75700, 1),(180, 1)
126,8,0.921,0.919,(75691, 24),(75691, 1),(180, 1)
129,8,0.92,0.919,(75690, 24),(75690, 1),(180, 1)
137,8,0.92,0.919,(75686, 24),(75686, 1),(180, 1)
143,8,0.92,0.919,(75683, 24),(75683, 1),(180, 1)
168,8,0.919,0.919,(75670, 24),(75670, 1),(180, 1)
180,8,0.92,0.919,(75664, 24),(75664, 1),(180, 1)
184,7,0.922,0.919,(75662, 24),(75662, 1),(180, 1)
200,7,0.923,0.919,(75654, 24),(75654, 1),(180, 1)
11,6,0.925,0.918,(75749, 24),(75749, 1),(180, 1)
12,6,0.924,0.918,(75748, 24),(75748, 1),(180, 1)
17,8,0.919,0.918,(75746, 24),(75746, 1),(180, 1)
22,8,0.918,0.918,(75743, 24),(75743, 1),(180, 1)
29,9,0.917,0.918,(75740, 24),(75740, 1),(180, 1)
32,9,0.917,0.918,(75738, 24),(75738, 1),(180, 1)
38,10,0.917,0.918,(75735, 24),(75735, 1),(180, 1)
39,10,0.917,0.918,(75735, 24),(75735, 1),(180, 1)
49,9,0.918,0.918,(75730, 24),(75730, 1),(180, 1)
60,9,0.918,0.918,(75724, 24),(75724, 1),(180, 1)
65,10,0.916,0.918,(75722, 24),(75722, 1),(180, 1)
84,9,0.918,0.918,(75712, 24),(75712, 1),(180, 1)
103,9,0.919,0.918,(75703, 24),(75703, 1),(180, 1)
118,8,0.919,0.918,(75695, 24),(75695, 1),(180, 1)
134,8,0.92,0.918,(75687, 24),(75687, 1),(180, 1)
144,8,0.918,0.918,(75682, 24),(75682, 1),(180, 1)
150,8,0.918,0.918,(75679, 24),(75679, 1),(180, 1)
158,8,0.92,0.918,(75675, 24),(75675, 1),(180, 1)
16,8,0.917,0.917,(75746, 24),(75746, 1),(180, 1)
19,9,0.916,0.917,(75745, 24),(75745, 1),(180, 1)
31,9,0.916,0.917,(75739, 24),(75739, 1),(180, 1)
46,9,0.916,0.917,(75731, 24),(75731, 1),(180, 1)
47,9,0.916,0.917,(75731, 24),(75731, 1),(180, 1)
69,9,0.917,0.917,(75720, 24),(75720, 1),(180, 1)
73,10,0.915,0.917,(75718, 24),(75718, 1),(180, 1)
74,9,0.918,0.917,(75717, 24),(75717, 1),(180, 1)
91,9,0.917,0.917,(75709, 24),(75709, 1),(180, 1)
97,9,0.917,0.917,(75706, 24),(75706, 1),(180, 1)
113,9,0.918,0.917,(75698, 24),(75698, 1),(180, 1)
140,8,0.918,0.917,(75684, 24),(75684, 1),(180, 1)
164,8,0.918,0.917,(75672, 24),(75672, 1),(180, 1)
4,5,0.924,0.916,(75752, 24),(75752, 1),(180, 1)
28,9,0.915,0.916,(75740, 24),(75740, 1),(180, 1)
45,10,0.914,0.916,(75732, 24),(75732, 1),(180, 1)
48,10,0.916,0.916,(75730, 24),(75730, 1),(180, 1)
52,10,0.914,0.916,(75728, 24),(75728, 1),(180, 1)
58,10,0.914,0.916,(75725, 24),(75725, 1),(180, 1)
70,10,0.914,0.916,(75719, 24),(75719, 1),(180, 1)
75,9,0.915,0.916,(75717, 24),(75717, 1),(180, 1)
80,10,0.914,0.916,(75714, 24),(75714, 1),(180, 1)
89,10,0.915,0.916,(75710, 24),(75710, 1),(180, 1)
104,9,0.917,0.916,(75702, 24),(75702, 1),(180, 1)
105,9,0.917,0.916,(75702, 24),(75702, 1),(180, 1)
112,9,0.917,0.916,(75698, 24),(75698, 1),(180, 1)
114,9,0.916,0.916,(75697, 24),(75697, 1),(180, 1)
115,9,0.916,0.916,(75697, 24),(75697, 1),(180, 1)
117,9,0.916,0.916,(75696, 24),(75696, 1),(180, 1)
122,9,0.916,0.916,(75693, 24),(75693, 1),(180, 1)
133,8,0.917,0.916,(75688, 24),(75688, 1),(180, 1)
141,9,0.916,0.916,(75684, 24),(75684, 1),(180, 1)
148,8,0.917,0.916,(75680, 24),(75680, 1),(180, 1)
152,8,0.917,0.916,(75678, 24),(75678, 1),(180, 1)
170,8,0.918,0.916,(75669, 24),(75669, 1),(180, 1)
172,8,0.917,0.916,(75668, 24),(75668, 1),(180, 1)
176,8,0.918,0.916,(75666, 24),(75666, 1),(180, 1)
182,8,0.917,0.916,(75663, 24),(75663, 1),(180, 1)
194,8,0.919,0.916,(75657, 24),(75657, 1),(180, 1)
10,6,0.922,0.915,(75749, 24),(75749, 1),(180, 1)
14,8,0.916,0.915,(75747, 24),(75747, 1),(180, 1)
23,9,0.914,0.915,(75743, 24),(75743, 1),(180, 1)
25,9,0.914,0.915,(75742, 24),(75742, 1),(180, 1)
27,9,0.915,0.915,(75741, 24),(75741, 1),(180, 1)
40,10,0.914,0.915,(75734, 24),(75734, 1),(180, 1)
50,10,0.914,0.915,(75729, 24),(75729, 1),(180, 1)
51,10,0.914,0.915,(75729, 24),(75729, 1),(180, 1)
57,10,0.914,0.915,(75726, 24),(75726, 1),(180, 1)
61,10,0.914,0.915,(75724, 24),(75724, 1),(180, 1)
63,10,0.914,0.915,(75723, 24),(75723, 1),(180, 1)
64,10,0.914,0.915,(75722, 24),(75722, 1),(180, 1)
72,10,0.913,0.915,(75718, 24),(75718, 1),(180, 1)
82,10,0.914,0.915,(75713, 24),(75713, 1),(180, 1)
100,9,0.916,0.915,(75704, 24),(75704, 1),(180, 1)
119,9,0.915,0.915,(75695, 24),(75695, 1),(180, 1)
120,9,0.915,0.915,(75694, 24),(75694, 1),(180, 1)
123,9,0.915,0.915,(75693, 24),(75693, 1),(180, 1)
125,9,0.914,0.915,(75692, 24),(75692, 1),(180, 1)
162,8,0.917,0.915,(75673, 24),(75673, 1),(180, 1)
174,8,0.915,0.915,(75667, 24),(75667, 1),(180, 1)
186,8,0.916,0.915,(75661, 24),(75661, 1),(180, 1)
190,8,0.915,0.915,(75659, 24),(75659, 1),(180, 1)
192,8,0.917,0.915,(75658, 24),(75658, 1),(180, 1)
