Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
107,1,0.99,0.989,(75701, 24),(75701, 1),(180, 1)
109,1,0.99,0.989,(75700, 24),(75700, 1),(180, 1)
112,1,0.99,0.989,(75698, 24),(75698, 1),(180, 1)
114,1,0.99,0.989,(75697, 24),(75697, 1),(180, 1)
1,1,0.99,0.988,(75754, 24),(75754, 1),(180, 1)
82,1,0.99,0.988,(75713, 24),(75713, 1),(180, 1)
84,1,0.989,0.988,(75712, 24),(75712, 1),(180, 1)
87,1,0.989,0.988,(75711, 24),(75711, 1),(180, 1)
88,1,0.989,0.988,(75710, 24),(75710, 1),(180, 1)
94,1,0.989,0.988,(75707, 24),(75707, 1),(180, 1)
95,1,0.989,0.988,(75707, 24),(75707, 1),(180, 1)
98,1,0.989,0.988,(75705, 24),(75705, 1),(180, 1)
101,1,0.989,0.988,(75704, 24),(75704, 1),(180, 1)
102,1,0.989,0.988,(75703, 24),(75703, 1),(180, 1)
106,1,0.989,0.988,(75701, 24),(75701, 1),(180, 1)
108,1,0.989,0.988,(75700, 24),(75700, 1),(180, 1)
110,1,0.99,0.988,(75699, 24),(75699, 1),(180, 1)
111,1,0.989,0.988,(75699, 24),(75699, 1),(180, 1)
113,1,0.989,0.988,(75698, 24),(75698, 1),(180, 1)
115,1,0.989,0.988,(75697, 24),(75697, 1),(180, 1)
117,1,0.989,0.988,(75696, 24),(75696, 1),(180, 1)
120,1,0.989,0.988,(75694, 24),(75694, 1),(180, 1)
121,1,0.989,0.988,(75694, 24),(75694, 1),(180, 1)
122,1,0.989,0.988,(75693, 24),(75693, 1),(180, 1)
124,1,0.989,0.988,(75692, 24),(75692, 1),(180, 1)
125,1,0.988,0.988,(75692, 24),(75692, 1),(180, 1)
128,1,0.989,0.988,(75690, 24),(75690, 1),(180, 1)
137,1,0.988,0.988,(75686, 24),(75686, 1),(180, 1)
141,1,0.989,0.988,(75684, 24),(75684, 1),(180, 1)
145,1,0.989,0.988,(75682, 24),(75682, 1),(180, 1)
96,1,0.988,0.987,(75706, 24),(75706, 1),(180, 1)
116,1,0.988,0.987,(75696, 24),(75696, 1),(180, 1)
118,1,0.988,0.987,(75695, 24),(75695, 1),(180, 1)
119,1,0.988,0.987,(75695, 24),(75695, 1),(180, 1)
123,1,0.988,0.987,(75693, 24),(75693, 1),(180, 1)
126,1,0.988,0.987,(75691, 24),(75691, 1),(180, 1)
129,1,0.988,0.987,(75690, 24),(75690, 1),(180, 1)
130,1,0.988,0.987,(75689, 24),(75689, 1),(180, 1)
131,1,0.988,0.987,(75689, 24),(75689, 1),(180, 1)
132,1,0.988,0.987,(75688, 24),(75688, 1),(180, 1)
133,1,0.988,0.987,(75688, 24),(75688, 1),(180, 1)
134,1,0.988,0.987,(75687, 24),(75687, 1),(180, 1)
135,1,0.988,0.987,(75687, 24),(75687, 1),(180, 1)
136,1,0.988,0.987,(75686, 24),(75686, 1),(180, 1)
138,1,0.988,0.987,(75685, 24),(75685, 1),(180, 1)
140,1,0.988,0.987,(75684, 24),(75684, 1),(180, 1)
142,1,0.988,0.987,(75683, 24),(75683, 1),(180, 1)
146,1,0.988,0.987,(75681, 24),(75681, 1),(180, 1)
148,1,0.988,0.987,(75680, 24),(75680, 1),(180, 1)
166,1,0.988,0.987,(75671, 24),(75671, 1),(180, 1)
143,1,0.987,0.986,(75683, 24),(75683, 1),(180, 1)
144,1,0.987,0.986,(75682, 24),(75682, 1),(180, 1)
150,1,0.987,0.986,(75679, 24),(75679, 1),(180, 1)
152,1,0.987,0.986,(75678, 24),(75678, 1),(180, 1)
154,1,0.987,0.986,(75677, 24),(75677, 1),(180, 1)
158,1,0.987,0.986,(75675, 24),(75675, 1),(180, 1)
160,1,0.987,0.986,(75674, 24),(75674, 1),(180, 1)
164,1,0.987,0.986,(75672, 24),(75672, 1),(180, 1)
170,1,0.987,0.986,(75669, 24),(75669, 1),(180, 1)
172,1,0.987,0.986,(75668, 24),(75668, 1),(180, 1)
178,1,0.988,0.986,(75665, 24),(75665, 1),(180, 1)
180,1,0.987,0.986,(75664, 24),(75664, 1),(180, 1)
186,1,0.987,0.986,(75661, 24),(75661, 1),(180, 1)
196,1,0.987,0.986,(75656, 24),(75656, 1),(180, 1)
162,1,0.986,0.985,(75673, 24),(75673, 1),(180, 1)
168,1,0.986,0.985,(75670, 24),(75670, 1),(180, 1)
174,1,0.987,0.985,(75667, 24),(75667, 1),(180, 1)
176,1,0.987,0.985,(75666, 24),(75666, 1),(180, 1)
182,1,0.987,0.985,(75663, 24),(75663, 1),(180, 1)
190,1,0.986,0.985,(75659, 24),(75659, 1),(180, 1)
194,1,0.987,0.985,(75657, 24),(75657, 1),(180, 1)
198,1,0.986,0.985,(75655, 24),(75655, 1),(180, 1)
17,2,0.985,0.984,(75746, 24),(75746, 1),(180, 1)
19,2,0.986,0.984,(75745, 24),(75745, 1),(180, 1)
20,2,0.986,0.984,(75744, 24),(75744, 1),(180, 1)
21,2,0.986,0.984,(75744, 24),(75744, 1),(180, 1)
23,2,0.985,0.984,(75743, 24),(75743, 1),(180, 1)
24,2,0.986,0.984,(75742, 24),(75742, 1),(180, 1)
25,2,0.986,0.984,(75742, 24),(75742, 1),(180, 1)
26,2,0.986,0.984,(75741, 24),(75741, 1),(180, 1)
27,2,0.985,0.984,(75741, 24),(75741, 1),(180, 1)
28,2,0.986,0.984,(75740, 24),(75740, 1),(180, 1)
29,2,0.986,0.984,(75740, 24),(75740, 1),(180, 1)
31,2,0.985,0.984,(75739, 24),(75739, 1),(180, 1)
32,2,0.986,0.984,(75738, 24),(75738, 1),(180, 1)
34,2,0.986,0.984,(75737, 24),(75737, 1),(180, 1)
38,2,0.985,0.984,(75735, 24),(75735, 1),(180, 1)
39,2,0.985,0.984,(75735, 24),(75735, 1),(180, 1)
40,2,0.986,0.984,(75734, 24),(75734, 1),(180, 1)
43,2,0.985,0.984,(75733, 24),(75733, 1),(180, 1)
48,2,0.985,0.984,(75730, 24),(75730, 1),(180, 1)
50,2,0.985,0.984,(75729, 24),(75729, 1),(180, 1)
54,2,0.985,0.984,(75727, 24),(75727, 1),(180, 1)
55,2,0.985,0.984,(75727, 24),(75727, 1),(180, 1)
156,1,0.985,0.984,(75676, 24),(75676, 1),(180, 1)
184,1,0.986,0.984,(75662, 24),(75662, 1),(180, 1)
188,1,0.986,0.984,(75660, 24),(75660, 1),(180, 1)
192,1,0.986,0.984,(75658, 24),(75658, 1),(180, 1)
200,1,0.986,0.984,(75654, 24),(75654, 1),(180, 1)
9,2,0.985,0.983,(75750, 24),(75750, 1),(180, 1)
13,2,0.985,0.983,(75748, 24),(75748, 1),(180, 1)
14,2,0.985,0.983,(75747, 24),(75747, 1),(180, 1)
